"","title","YearPub","pmid","abstract"
"313","DNA metabarcoding reveals changes in the contents of carnivorous plants along an elevation gradient.",2019,"30106192","Resource variation along abiotic gradients influences subsequent trophic interactions and these effects can be transmitted through entire food webs. Interactions along abiotic gradients can provide clues as to how organisms will face changing environmental conditions, such as future range shifts. However, it is challenging to find replicated systems to study these effects. Phytotelmata, such as those found in carnivorous plants, are isolated aquatic communities and thus form a good model for the study of replicated food webs. Due to the degraded nature of the prey, molecular techniques provide a useful tool to study these communities. We studied the pitcher plant Sarracenia purpurea L. in allochthonous populations along an elevational gradient in the Alps and Jura. We predicted that invertebrate richness in the contents of the pitcher plants would decrease with increasing elevation, reflecting harsher environmental conditions. Using metabarcoding of the COI gene, we sequenced the invertebrate contents of these pitcher plants. We assigned Molecular Operational Taxonomic Units at ordinal level as well as recovering species-level data. We found small but significant changes in community composition with elevation. These recovered sequences could belong to invertebrate prey, rotifer inquilines, pollinators and other animals possibly living inside the pitchers. However, we found no directional trend or site-based differences in MOTU richness with elevational gradient. Use of molecular techniques for dietary or contents analysis is a powerful way to examine numerous degraded samples, although factors such as DNA persistence and the relationship with species presence still have to be completely determined."
"314","Evaluating freshwater macroinvertebrates from eDNA metabarcoding: A river Nalón case study.",2018,"30089147","Rivers are a vital resource for human wellbeing. To reduce human impact on water bodies, the European Union has established an essential regulatory framework for protection and sustainable management (WFD; 2000/60/EC). In this strategy, reliable and economic bioindicators are a fundamental component. Benthic macroinvertebrates are the group most commonly used as bioindicators through all European countries. However, their conventional assessment currently entails serious cost-efficiency limitations. In this study, we have tested the reliability of metabarcoding as a tool to record river macroinvertebrates using samples from a mock community (in vitro validation) and eDNA extracted for field validation from water from six sites within a north Iberian river (River Nalón, Asturias, Spain). Two markers (V4 region within the nuclear 18S rDNA and a fragment of the mitochondrial COI gene) were amplified and sequenced using an Illumina platform. The molecular technique has proven to be more sensitive than the visual one. A cost-benefit analysis shows that the metabarcoding approach is more expensive than conventional techniques for determining macroinvertebrate communities but requires fewer sampling and identification efforts. Our results suggest metabarcoding is a useful tool for alternative assessment of freshwater quality."
"315","Seasonally varying marine influences on the coastal ecosystem detected through molecular gut analysis.",2019,"30084518","Terrestrial predators on marine shores benefit from the inflow of organisms and matter from the marine ecosystem, often causing very high predator densities and indirectly affecting the abundance of other prey species on shores. This indirect effect may be particularly strong if predators shift diets between seasons. We therefore quantified the seasonal variation in diet of two wolf spider species that dominate the shoreline predator community, using molecular gut content analyses with general primers to detect the full prey range. Across the season, spider diets changed, with predominantly terrestrial prey from May until July and predominantly marine prey (mainly chironomids) from August until October. This pattern coincided with a change in the spider age and size structure, and prey abundance data and resource selection analyses suggest that the higher consumption of chironomids during autumn is due to an ontogenetic diet shift rather than to variation in prey abundance. The analyses suggested that small dipterans with a weak flight capacity, such as Chironomidae, Sphaeroceridae, Scatopsidae and Ephydridae, were overrepresented in the gut of small juvenile spiders during autumn, whereas larger, more robust prey, such as Lepidoptera, Anthomyidae and Dolichopodidae, were overrepresented in the diet of adult spiders during spring. The effect of the inflow may be that the survival and growth of juvenile spiders is higher in areas with high chironomid abundances, leading to higher densities of adult spiders and higher predation rates on the terrestrial prey next spring."
"316","A four year survey reveals a coherent pattern between occurrence of fruit bodies and soil amoebae populations for nivicolous myxomycetes.",2018,"30076328","Among soil-inhabiting protists, myxomycetes stand out by their macroscopic fructifications which have allowed studies on their ecology and distribution for more than two hundred years. One of the most distinct ecological guilds in myxomycetes are the nivicolous or ""snowbank"" myxomycete species, which produce fruit bodies at the edge of melting snowbanks in spring. Relationship between the occurrence of fructifications and myxamoebae remain unknown. In this study we used modern molecular techniques, by direct DNA amplification from soil extracts (NGS metabarcoding) to compare the distribution of soil-inhabiting myxamoebae found in 2016 with fructifications from the same sites collected over the course of four years (2013, 2015-17) along an elevational transect in the northern German Alps. A coherent community composition between fructification and soil myxamoebae, though with species-specific differences in relative abundance, was revealed. Although patterns varied among species, myxamoebae were found at both low and high elevations, whereas fruit bodies were mainly found at higher elevations, likely explained by the presence of a stable and long-lasting snow cover. In addition, a year to year comparison of fructification records support the hypothesis that the abundance of fructifications strongly depends on the onset of snowfall in the previous autumn and the soil temperature regime throughout the winter."
"317","Contrasting distribution patterns between aquatic and terrestrial Phytophthora species along a climatic gradient are linked to functional traits.",2018,"30072746","Diversity of microbial organisms is linked to global climatic gradients. The genus Phytophthora includes both aquatic and terrestrial plant pathogenic species that display a large variation of functional traits. The extent to which the physical environment (water or soil) modulates the interaction of microorganisms with climate is unknown. Here, we explored the main environmental drivers of diversity and functional trait composition of Phytophthora communities. Communities were obtained by a novel metabarcoding setup based on PacBio sequencing of river filtrates in 96 river sites along a geographical gradient. Species were classified as terrestrial or aquatic based on their phylogenetic clade. Overall, terrestrial and aquatic species showed contrasting patterns of diversity. For terrestrial species, precipitation was a stronger driver than temperature, and diversity and functional diversity decreased with decreasing temperature and precipitation. In cold and dry areas, the dominant species formed resistant structures and had a low optimum temperature. By contrast, for aquatic species, temperature and water chemistry were the strongest drivers, and diversity increased with decreasing temperature and precipitation. Within the same area, environmental filtering affected terrestrial species more strongly than aquatic species (20% versus 3% of the studied communities, respectively). Our results highlight the importance of functional traits and the physical environment in which microorganisms develop their life cycle when predicting their distribution under changing climatic conditions. Temperature and rainfall may be buffered differently by water and soil, and thus pose contrasting constrains to microbial assemblies."
"318","Does pollution influence small mammal diet in the field? A metabarcoding approach in a generalist consumer.",2018,"30069953","Mammals are mainly exposed to trace metals (TMs) via consuming contaminated food. Several studies have demonstrated relationships between metal concentrations in food and in animal tissues. However, potential effects of TMs on feeding behaviour of wildlife have been poorly documented under field conditions, despite experimental evidence showing that food selection is impacted by resource contamination. Here, we test the hypothesis that the diet of a generalist rodent, the wood mouse (Apodemus sylvaticus), is altered by soil TM contamination in the field. Wood mice were sampled in spring and in autumn along a gradient of soil contamination in the surroundings of a former smelter located in northern France. Available resources in the field were inventoried, and the diet of the animals was analysed using DNA ""metabarcoding."" We demonstrated that (a) relationship between the resource richness in the diet and their richness in the field was altered by soil metal contamination. Wood mice specialized their diet along the gradient of soil metal contamination for both plant and invertebrate resources in spring. We also showed that (b) preference for Salicaceae, a plant family accumulating metals, decreased when soil contamination increased. These results suggest that environmental TM pollution could act as a force modulating trophic interactions in terrestrial food webs, thereby affecting wildlife exposure to contaminants by trophic route."
"319","Wild Bee Pollen Usage and Microbial Communities Co-vary Across Landscapes.",2019,"30069710","Bees forage for pollen and nectar at flowers but simultaneously acquire pathogenic, commensal, and likely beneficial microbes from these same flowers. Characterizing pollen usage of wild bees is therefore crucial to their conservation yet remains a challenging task. To understand pollen usage across landscapes and how this affects microbial communities found in the pollen provisions collected from flowers, we studied the generalist small carpenter bee Ceratina australensis. We collected C. australensis nests from three different climatic zones across eastern and southern Australia. To characterize the plant, fungal, and bacterial composition of these pollen provisions, we used a metabarcoding and next-generation sequencing approach. We found that the species richness of plant types, fungi, and bacteria was highest in a subtropical zone compared to a temperate or a grassland zone. The composition of these communities also differentiated by zone, particularly in pollen composition and fungal communities. Moreover, pollen composition strongly correlated with fungal community composition, suggesting that variation in pollen usage across landscapes results in variation in microbial communities. While how these pollen usage and microbial community patterns affect bee health merits additional work, these data further our understanding of how flowering plant community composition affects not only the pollen usage of a generalist bee but also its associated microbial communities."
"320","Structure and function of the global topsoil microbiome.",2018,"30069051","Soils harbour some of the most diverse microbiomes on Earth and are essential for both nutrient cycling and carbon storage. To understand soil functioning, it is necessary to model the global distribution patterns and functional gene repertoires of soil microorganisms, as well as the biotic and environmental associations between the diversity and structure of both bacterial and fungal soil communities1-4. Here we show, by leveraging metagenomics and metabarcoding of global topsoil samples (189 sites, 7,560 subsamples), that bacterial, but not fungal, genetic diversity is highest in temperate habitats and that microbial gene composition varies more strongly with environmental variables than with geographic distance. We demonstrate that fungi and bacteria show global niche differentiation that is associated with contrasting diversity responses to precipitation and soil pH. Furthermore, we provide evidence for strong bacterial-fungal antagonism, inferred from antibiotic-resistance genes, in topsoil and ocean habitats, indicating the substantial role of biotic interactions in shaping microbial communities. Our results suggest that both competition and environmental filtering affect the abundance, composition and encoded gene functions of bacterial and fungal communities, indicating that the relative contributions of these microorganisms to global nutrient cycling varies spatially."
"321","Ballast Water Exchange and Invasion Risk Posed by Intracoastal Vessel Traffic: An Evaluation Using High Throughput Sequencing.",2018,"30059206","Ballast water remains a potent vector of non-native aquatic species introductions, despite increased global efforts to reduce risk of ballast water mediated invasions. This is particularly true of intracoastal vessel traffic, whose characteristics may limit the feasibility and efficacy of management through ballast water exchange (BWE). Here we utilize high throughput sequencing (HTS) to assess biological communities associated with ballast water being delivered to Valdez, Alaska from multiple source ports along the Pacific Coast of the United States. Our analyses indicate that BWE has a significant but modest effect on ballast water assemblages. Although overall richness was not reduced with exchange, we detected losses of some common benthic coastal taxa (e.g., decapods, mollusks, bryozoans, cnidaria) and gains of open ocean taxa (e.g., certain copepods, diatoms, and dinoflagellates), including some potentially toxic species. HTS-based metabarcoding identified significantly differentiated biodiversity signatures from individual source ports; this signal persisted, though weakened, in vessels undergoing BWE, indicating incomplete faunal turnover associated with management. Our analysis also enabled identification of taxa that may be of particular concern if established in Alaskan waters. While these results reveal a clear effect of BWE on diversity in intracoastal transit, they also indicate continued introduction risk of non-native and harmful taxa."
"322","Newly designed 16S rRNA metabarcoding primers amplify diverse and novel archaeal taxa from the environment.",2018,"30058291","High-throughput studies of microbial communities suggest that Archaea are a widespread component of microbial diversity in various ecosystems. However, proper quantification of archaeal diversity and community ecology remains limited, as sequence coverage of Archaea is usually low owing to the inability of available prokaryotic primers to efficiently amplify archaeal compared to bacterial rRNA genes. To improve identification and quantification of Archaea, we designed and validated the utility of several primer pairs to efficiently amplify archaeal 16S rRNA genes based on up-to-date reference genes. We demonstrate that several of these primer pairs amplify phylogenetically diverse Archaea with high sequencing coverage, outperforming commonly used primers. Based on comparing the resulting long 16S rRNA gene fragments with public databases from all habitats, we found several novel family- to phylum-level archaeal taxa from topsoil and surface water. Our results suggest that archaeal diversity has been largely overlooked due to the limitations of available primers, and that improved primer pairs enable to estimate archaeal diversity more accurately."
"323","Towards an eDNA metabarcode-based performance indicator for full-scale municipal wastewater treatment plants.",2018,"30053623","Knowledge-driven management for wastewater treatment plant (WWTP) performance becomes increasingly important considering the globally growing production of wastewater and the rising demand of clean water supply. Even though the potential of microbial organisms (bacteria and protists) as bioindicators for WWTP performance is well known, it is far from being fully exploited for routine monitoring programs. Therefore, we here used massive sequencing of environmental (e)DNA metabarcodes from bacterial (V3-V4 region of the SSU rRNA gene) and eukaryote (V9 region of the SSU rRNA gene) communities in 21 activated sludge samples obtained from full-scale municipal WWTPs in Germany. Microbial community patterns were compared to standard WWTP operating parameters and two traditionally used WWTP performance indicators (Sludge Biotic Index and Sludge Index). Both indices showed low concordance and hardly correlated with chemical WWTP performance parameters nor did they correlate with microbial community structures. In contrast, microbial community profiles significantly correlated with WWTP performance parameters and operating conditions of the plants under study. Therefore, eDNA metabarcode profiles of whole microbial communities indicate the performance of WWTP and can provide useful information for management strategies. We here suggest a strategy for the development of an eDNA metabarcode based bioindicator system, which can be implemented in future standard monitoring programs for WWTP performance and effluent quality."
"324","A Comparative Study on the Faecal Bacterial Community and Potential Zoonotic Bacteria of Muskoxen (Ovibos moschatus) in Northeast Greenland, Northwest Greenland and Norway.",2018,"30044373","Muskoxen (Ovibos moschatus) are ruminants adapted to a high-fibre diet. There is increasing interest in the role that gut microbes play in the digestion and utilization of these specialized diets but only limited data available on the gut microbiome of high-Arctic animals. In this study, we metabarcoded the 16S rRNA region of faecal samples from muskoxen of Northeast Greenland, Northwest Greenland and Norway, and quantified the effects of physiological and temporal factors on bacterial composition. We found significant effects of body mass, year of sampling and location on the gut bacterial communities of North East Greenland muskoxen. These effects were however dwarfed by the effects of location, emphasizing the importance of the local ecology on the gut bacterial community. Habitat alterations and rising temperatures may therefore have a considerable impact on muskoxen health and reproductive success. Moreover, muskoxen are hunted and consumed in Greenland, Canada and Alaska; therefore, this study also screened for potential zoonoses of food safety interest. A total of 13 potentially zoonotic genera were identified, including the genera Erysipelothrix and Yersinia implicated in recent mass die-offs of the muskoxen themselves."
"325","Finding flies in the mushroom soup: Host specificity of fungus-associated communities revisited with a novel molecular method.",2019,"30040155","Fruiting bodies of fungi constitute an important resource for thousands of other taxa. The structure of these diverse assemblages has traditionally been studied with labour-intensive methods involving cultivation and morphology-based species identification, to which molecular information might offer convenient complements. To overcome challenges in DNA extraction and PCR associated with the complex chemical properties of fruiting bodies, we developed a pipeline applicable for extracting amplifiable total DNA from soft fungal samples of any size. Our protocol purifies DNA in two sequential steps: (a) initial salt-isopropanol extraction of all nucleic acids in the sample is followed by (b) an extra clean-up step using solid-phase reversible immobilization (SPRI) magnetic beads. The protocol proved highly efficient, with practically all of our samples-regardless of biomass or other properties-being successfully PCR-amplified using metabarcoding primers and subsequently sequenced. As a proof of concept, we apply our methods to address a topical ecological question: is host specificity a major characteristic of fungus-associated communities, that is, do different fungus species harbour different communities of associated organisms? Based on an analysis of 312 fungal fruiting bodies representing 10 species in five genera from three orders, we show that molecular methods are suitable for studying this rich natural microcosm. Comparing to previous knowledge based on rearing and morphology-based identifications, we find a species-rich assemblage characterized by a low degree of host specialization. Our method opens up new horizons for molecular analyses of fungus-associated interaction webs and communities. Fruiting bodies of fungi constitute an important resource for thousands of other taxa. The structure of these diverse assemblages has traditionally been studied with labour-intensive methods involving cultivation and morphology-based species identification, to which molecular information might offer convenient complements. To overcome challenges in DNA extraction and PCR associated with the complex chemical properties of fruiting bodies, we developed a pipeline applicable for extracting amplifiable total DNA from soft fungal samples of any size. Our protocol purifies DNA in two sequential steps: (a) initial salt-isopropanol extraction of all nucleic acids in the sample is followed by (b) an extra clean-up step using solid-phase reversible immobilization (SPRI) magnetic beads. The protocol proved highly efficient, with practically all of our samples-regardless of biomass or other properties-being successfully PCR-amplified using metabarcoding primers and subsequently sequenced. As a proof of concept, we apply our methods to address a topical ecological question: is host specificity a major characteristic of fungus-associated communities, that is, do different fungus species harbour different communities of associated organisms? Based on an analysis of 312 fungal fruiting bodies representing 10 species in five genera from three orders, we show that molecular methods are suitable for studying this rich natural microcosm. Comparing to previous knowledge based on rearing and morphology-based identifications, we find a species-rich assemblage characterized by a low degree of host specialization. Our method opens up new horizons for molecular analyses of fungus-associated interaction webs and communities."
"326","Dynamics of Gut Microbiota Diversity During the Early Development of an Avian Host: Evidence From a Cross-Foster Experiment.",2018,"30038608","Despite the increasing knowledge on the processes involved in the acquisition and development of the gut microbiota in model organisms, the factors influencing early microbiota successions in natural populations remain poorly understood. In particular, little is known on the role of the rearing environment in the establishment of the gut microbiota in wild birds. Here, we examined the influence of the nesting environment on the gut microbiota of Great tits (Parus major) by performing a partial cross-fostering experiment during the intermediate stage of nestling development. We found that the cloacal microbiota of great tit nestlings underwent substantial changes between 8 and 15 days of age, with a strong decrease in diversity, an increase in the relative abundance of Firmicutes and a shift in the functional features of the community. Second, the nesting environment significantly influenced community composition, with a divergence among separated true siblings and a convergence among foster siblings. Third, larger shifts in both microbiota diversity and composition correlated with lower nestling body condition. Our results shed new light on the dynamics of microbial diversity during the ontogeny of avian hosts, indicating that the nest environment continues to shape the gut microbiota during the later stages of nestling development and that the increase in gut diversity between hatching and adulthood may not be as linear as previously suspected. Lastly, the microbiota changes incurred during this period may have implications for nestling body condition which can lead to long-term consequences for host fitness."
"327","Updating Plakobranchus cf. ianthobapsus (Gastropoda, Sacoglossa) host use: Diverse algal-animal interactions revealed by NGS with implications for invasive species management.",2018,"30031771","Sacoglossa, the ""sap sucking"" sea slugs, are highly specialized herbivores and the only metazoans that exhibit kleptoplasty, the sequestration and retention of chloroplasts from algae. Plakobranchus is one of the most generalistic herbivores within this order, with as many as 12 reported ""algal host"" (i.e. kleptoplast source) species. However, kleptoplast diversity studies conducted on Plakobranchus to date most likely underestimated the full diversity of kleptoplast sources within the studied populations due to limitations of the molecular techniques employed. Here, we apply a high throughput sequencing technique to assess kleptoplast diversity of Plakobranchus cf. ianthobapsus' from 10 sites across the Main Hawaiian Islands during winter and summer seasons. In so doing, we effectively used P. cf. ianthobapsus as a novel sampling tool to explore diminutive algal communities, including the current distribution of the invasive alga ""Avrainvillea amadelpha."" Our results show that P. cf. ianthobapsus sequesters chloroplasts from 23 algal species from across the siphonous green algal order Bryopsidales. We identified ""Avrainvillea amadelpha"" and Codium edule as new host species for P. cf. ianthobapusus, but their rarity among the data suggests they were most likely less preferential as hosts and were possibly utilized due to low abundance or unavailability of more preferable species, and therefore a response to starvation risk. Additionally, the identification of the highly invasive siphonous green alga ""A. amadelpha"" as a kleptoplast source provides new fine-scale range and distribution data for this problematic species. Overall kleptoplast diversity does not differ among sites, except in a coral-dominated, (i.e. not algal dominated) environment, suggesting that siphonous algal assemblages are common in algal-dominated ecosystems in the Hawaiian Islands. Diversity dissimilarity among seasons was recovered from the majority of sites sampled, supporting the need for seasonal data collection in algal diversity assessments. This case study using metabarcoding of sacoglossan kleptoplasts provides deeper insights into these plant-animal interactions with a better understanding of host use than previous studies using traditional molecular methods and illustrates how algal diversity studies on the scale of plastids can have implications for understanding algal community structure and invasive species dynamics."
"328","Slippage of degenerate primers can cause variation in amplicon length.",2018,"30030475","It is well understood that homopolymer regions should be avoided for primer binding to prevent off-target amplification. However, in metabarcoding, it is often difficult to avoid primer degeneracy in order to maximize taxa detection. We here investigate primer binding specificity using different primer sets from several invertebrate metabarcoding studies. Our results indicate that primers frequently bound 1-2 bp upstream in taxa where a homopolymer region was present in the amplification direction. Primer binding 1 bp downstream was observed less frequently. This primer slippage leads to taxon-specific length variation in amplicons and subsequent length variation in recovered sequences. Some widely used primer sets were severely affected by this bias, while others were not. While this variation will only have small impacts on the designation of Operational Taxonomic Units (OTUs) by clustering algorithms that ignore terminal gaps, primer sets employed in metabarcoding projects should be evaluated for their sensitivity to slippage. Moreover, steps should be taken to reduce slippage by improving protocols for primer design. For example, the flanking region adjacent to the 3' end of the primer is not considered by current primer development software although GC clamps in this position could mitigate slippage."
"329","A Comparison of Different Ciliate Metabarcode Genes as Bioindicators for Environmental Impact Assessments of Salmon Aquaculture.",2019,"30028566","Ciliates are powerful indicators for monitoring the impact of aquaculture and other industrial activities in the marine environment. Here, we tested the efficiency of four different genetic markers (V4 and V9 regions of the SSU rRNA gene, D1 and D2 regions of the LSU rRNA gene, obtained from environmental (e)DNA and environmental (e)RNA) of benthic ciliate communities for environmental monitoring. We obtained these genetic metabarcodes from sediment samples collected along a transect extending from below salmon cages toward the open sea. These data were compared to benchmark data from traditional macrofauna surveys of the same samples. In beta diversity analyses of ciliate community structures, the V4 and V9 markers had a higher resolution power for sampling sites with different degrees of organic enrichment compared to the D1 and D2 markers. The eDNA and eRNA V4 markers had a higher discriminatory power than the V9 markers. However, results obtained with the eDNA V9 marker corroborated better with the traditional macrofauna monitoring. This allows for a more direct comparison of ciliate metabarcoding with the traditional monitoring. We conclude that the ciliate eDNA V9 marker is the best choice for implementation in routine monitoring programs in marine aquaculture."
"330","Multifaceted DNA metabarcoding: Validation of a noninvasive, next-generation approach to studying bat populations.",2018,"30026801","As multiple species of bats are currently experiencing dramatic declines in populations due to white-nose syndrome (WNS) and other factors, conservation managers have an urgent need for data on the ecology and overall status of populations of once-common bat species. Standard approaches to obtain data on bat populations often involve capture and handling, requiring extensive expertise and unavoidably resulting in stress to the bats. New methods to rapidly obtain critical data are needed that minimize both the stress on bats and the spread of WNS. Guano provides a noninvasive source of DNA that includes information from the bat, but also dietary items, parasites, and pathogens. DNA metabarcoding is a high-throughput, DNA-based identification technique to assess the biodiversity of environmental or fecal samples. We investigated the use of multifaceted DNA metabarcoding (MDM), a technique combining next-generation DNA sequencing (NGS), DNA barcodes, and bioinformatic analysis, to simultaneously collect data on multiple parameters of interest (bat species composition, individual genotype, sex ratios, diet, parasites, and presence of WNS) from fecal samples using a single NGS run. We tested the accuracy of each MDM assay using samples in which these parameters were previously determined using conventional approaches. We found that assays for bat species identification, insect diet, parasite diversity, and genotype were both sensitive and accurate, the assay to detect WNS was highly sensitive but requires careful sample processing steps to ensure the reliability of results, while assays for nectivorous diet and sex showed lower sensitivity. MDM was able to quantify multiple data classes from fecal samples simultaneously, and results were consistent whether we included assays for a single data class or multiple data classes. Overall, MDM is a useful approach that employs noninvasive sampling and a customizable suite of assays to gain important and largely accurate information on bat ecology and population dynamics."
"331","Contrasting biogeography and diversity patterns between diatoms and haptophytes in the central Pacific Ocean.",2018,"30026492","Diatoms and haptophytes are two major phytoplankton groups, playing pivotal roles in global biogeochemical cycles and marine ecosystems. In general, diatoms have higher growth rates than haptophytes, whereas haptophytes tend to have higher nutrient uptake affinity. However, precise linkages between their ecological traits and geographical distributions remain poorly understood. Herein, we examined the basin-scale variability of the abundance and taxonomic composition of these two phytoplankton groups across 35 sites in the Pacific Ocean using DNA metabarcoding. The diatom community was generally dominated by a few genera at each sample site, whereas the haptophyte community consisted of a large number of genera in most of the sites. The coexistence of various haptophyte genera might be achieved by diversification of their ecophysiological traits such as mixotrophy. On the other hand, the diatom community might experience greater inter-genus competition due to the rapid uptake of nutrients. Our data further supports the notion that their distinct ecological strategies underlie the emergence of contrasting diversity patterns of these phytoplankton groups in the central Pacific at a basin scale."
"332","Combined Metabarcoding and Multi-locus approach for Genetic characterization of Colletotrichum species associated with common walnut (Juglans regia) anthracnose in France.",2018,"30018385","Juglans regia (walnut) is a species belonging to the family Juglandaceae. Broadly spread in diverse temperate and subtropical regions, walnut is primarily cultivated for its nuts. In France, Colletotrichum sp. on walnut was detected for the first time in 2007; in 2011 the disease led to 50-70% losses in nut production. A combined approach of metabarcoding analysis and multi-locus genetic characterization of isolated strains has been used for taxonomic designation and to study the genetic variability of this pathogen in France. Evidence indicates that four Colletotrichum species are associated with walnut in France: 3 belong to the C. acutatum species complex and 1 to the C. gloeosporioides species complex. Results also show that C. godetiae is the most abundant species followed by C. fioriniae; while C. nymphaeae and another Colletotrichum sp. belonging to the C. gloeosporioides complex are found rarely. Representative isolates of detected species were also used to confirm pathogenicity on walnut fruits. The results show a high variability of lesion's dimensions among isolates tested. This study highlights the genetic and pathogenic heterogeneity of Colletotrichum species associated with walnut anthracnose in France providing useful information for targeted treatments or selection of resistant cultivars, in order to better control the disease."
"333","Microplastic bacterial communities in the Bay of Brest: Influence of polymer type and size.",2018,"30014939","Microplastics (<5 mm) exhibit intrinsic features such as density, hydrophobic surface, or high surface/volume ratio, that are known to promote microbial colonization and biofilm formation in marine ecosystems. Yet, a relatively low number of studies have investigated the nature of microplastic associated bacterial communities in coastal ecosystems and the potential factors influencing their composition and structure. Here, we characterized microplastics collected in the Bay of Brest by manual sorting followed by Raman spectroscopy and studied their associated bacterial assemblages using 16S amplicon high-throughput sequencing. Our methodology allowed discriminating polymer type (polyethylene, polypropylene and polystyrene) within small size ranges (0.3-1 vs. 1-2 vs. 2-5 mm) of microplastics collected. Data showed high species richness and diversity on microplastics compared to surrounding seawater samples encompassing both free living and particle attached bacteria. Even though a high proportion of operational taxonomic units (OTU; 94 ± 4%) was shared among all plastic polymers, polystyrene fragments exhibited distinct bacterial assemblages as compared to polyethylene and polypropylene samples. No effect of microplastic size was revealed regardless of polymer type, site and date of collection. The Vibrio genus was commonly detected in the microplastic fraction and specific PCR were performed to determine the presence of potentially pathogenic Vibrio strains (namely V. aestuarianus and the V. splendidus polyphyletic group). V. splendidus related species harboring putative oyster pathogens were detected on most microplastic pools (77%) emphasizing the need of further research to understand the role of microplastics on pathogen population transport and ultimate disease emergence."
"334","Supervised machine learning outperforms taxonomy-based environmental DNA metabarcoding applied to biomonitoring.",2018,"30014577","Biodiversity monitoring is the standard for environmental impact assessment of anthropogenic activities. Several recent studies showed that high-throughput amplicon sequencing of environmental DNA (eDNA metabarcoding) could overcome many limitations of the traditional morphotaxonomy-based bioassessment. Recently, we demonstrated that supervised machine learning (SML) can be used to predict accurate biotic indices values from eDNA metabarcoding data, regardless of the taxonomic affiliation of the sequences. However, it is unknown to which extent the accuracy of such models depends on taxonomic resolution of molecular markers or how SML compares with metabarcoding approaches targeting well-established bioindicator species. In this study, we address these issues by training predictive models upon five different ribosomal bacterial and eukaryotic markers and measuring their performance to assess the environmental impact of marine aquaculture on independent data sets. Our results show that all tested markers are yielding accurate predictive models and that they all outperform the assessment relying solely on taxonomically assigned sequences. Remarkably, we did not find any significant difference in the performance of the models built using universal eukaryotic or prokaryotic markers. Using any molecular marker with a taxonomic range broad enough to comprise different potential bioindicator taxa, SML approach can overcome the limits of taxonomy-based eDNA bioassessment."
"335","Ecological and molecular characterization of a coral black band disease outbreak in the Red Sea during a bleaching event.",2018,"30013839","Black Band Disease (BBD) is a widely distributed and destructive coral disease that has been studied on a global scale, but baseline data on coral diseases is missing from many areas of the Arabian Seas. Here we report on the broad distribution and prevalence of BBD in the Red Sea in addition to documenting a bleaching-associated outbreak of BBD with subsequent microbial community characterization of BBD microbial mats at this reef site in the southern central Red Sea. Coral colonies with BBD were found at roughly a third of our 22 survey sites with an overall prevalence of 0.04%. Nine coral genera were infected including Astreopora, Coelastrea, Dipsastraea, Gardineroseris, Goniopora, Montipora, Pavona, Platygyra, and Psammocora. For a southern central Red Sea outbreak site, overall prevalence was 40 times higher than baseline (1.7%). Differential susceptibility to BBD was apparent among coral genera with Dipsastraea (prevalence 6.1%), having more diseased colonies than was expected based on its abundance within transects. Analysis of the microbial community associated with the BBD mat showed that it is dominated by a consortium of cyanobacteria and heterotrophic bacteria. We detected the three main indicators for BBD (filamentous cyanobacteria, sulfate-reducing bacteria (SRB), and sulfide-oxidizing bacteria (SOB)), with high similarity to BBD-associated microbes found worldwide. More specifically, the microbial consortium of BBD-diseased coral colonies in the Red Sea consisted of Oscillatoria sp. (cyanobacteria), Desulfovibrio sp. (SRB), and Arcobacter sp. (SOB). Given the similarity of associated bacteria worldwide, our data suggest that BBD represents a global coral disease with predictable etiology. Furthermore, we provide a baseline assessment of BBD disease prevalence in the Red Sea, a still understudied region."
"336","Insights into global planktonic diatom diversity: The importance of comparisons between phylogenetically equivalent units that account for time.",2018,"30013161","Metabarcoding has offered unprecedented insights into microbial diversity. In many studies, short DNA sequences are binned into consecutively lower Linnaean ranks, and ranked groups (e.g., genera) are the units of biodiversity analyses. These analyses assume that Linnaean ranks are biologically meaningful and that identically ranked groups are comparable. We used a metabarcode dataset for marine planktonic diatoms to illustrate the limits of this approach. We found that the 20 most abundant marine planktonic diatom genera ranged in age from 4 to 134 million years, indicating the non-equivalence of genera because some have had more time to diversify than others. However, species richness was largely independent of genus age, suggesting that disparities in species richness among genera were better explained by variation in rates of speciation and extinction. Taxonomic classifications often do not reflect phylogeny, so genus-level analyses can include phylogenetically nested genera, further confounding rank-based analyses. These results underscore the indispensable role of phylogeny in understanding patterns of microbial diversity."
